Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D10.0mm_P5.00mm,1,470u,
"C10, C15, C3, C6, C8",0805,5,10uF,
"C11, C12, C14, C17, C18, C4, C5, C9",0805,8,100nF,
C13,0805,1,1nF,
"C16, C7",0805,2,1uF,
C2,0805,1,100n,
D1,DO214AA,1,SMBJ24CA:DO214AA,
D2,D_SOD-323,1,STS321050B100-EA,
"J1, J2","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",2,Screw_Terminal_01x02,
J10,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,Screw_Terminal_01x03,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J4,GCT_USB4085-GF-A_REVA4,1,USB4085-GF-A_REVA4,
"J5, J6, J7, J8, J9","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",5,Screw_Terminal_01x04,
L1,L_Taiyo-Yuden_NR-60xx,1,2.2uH,
"Q1, Q2, Q4, Q5, Q6, Q7",PMOS-SOT23,6,PMOS,
"Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q3, Q8",SOT95P230X110-3N,12,NMOS,
Q9,AO3400A,1,NMOS,
"R1, R11, R21, R22, R23, R30, R31, R32, R33, R34, R39, R4, R40, R41, R44, R9",0805,16,220,
"R10, R2, R20, R5, R6, R8",0805,6,10k,
"R12, R24, R25, R26, R27, R28, R29, R3, R35, R36, R37, R38, R42, R43",0805,14,100k,
"R13, R14",0805,2,4k7,
"R15, R16",0805,2,100,
"R17, R18",0805,2,5k1,
R19,0805,1,1M,
R7,0805,1,100R,
"SW1, SW2",SW_PUSH_6mm,2,SW_Push,
"U1, U2",MODULE_INA219,2,INA219,
"U10, U11, U12, U8, U9",SOT95P230X110-3N,5,"PESD5V0L2BT,215",
U13,SOIC127P600X175-8N,1,MCP3422A0-E/SN,
U3,PRT-12885,1,SunnyBuddy:PRT-12885,
U4,ESP32-C6-WROOM-1U,1,ESP32-C6-WROOM-1,
U5,Texas_DRC0010J_ThermalVias,1,TPS63001,
U6,SOT-23-6,1,USBLC6-4SC6,
U7,MicroCrystal_C7_SON-8_1.5x3.2mm_P0.9mm,1,RV-3028-C7,
