Designator,Mid X,Mid Y,Rotation,Layer
C1,133.2323,-88.5,0.0,top
C10,131.3,-101.75,0.0,top
C11,77.45,-135.3,0.0,top
C12,127.0,-132.7,270.0,top
C13,75.65,-102.45,90.0,top
C14,66.35,-138.75,180.0,top
C15,149.25,-138.6894,180.0,top
C16,158.0,-138.5691,180.0,top
C17,167.2,-138.6292,0.0,top
C18,175.0,-138.509,180.0,top
C2,137.95,-97.05,90.0,top
C3,121.55,-106.85,0.0,top
C4,121.5,-101.0,180.0,top
C5,77.75,-123.8,180.0,top
C6,111.55,-114.35,180.0,top
C7,111.5,-117.8,180.0,top
C8,131.25,-105.0,0.0,top
C9,111.6,-111.0,180.0,top
D1,124.4,-88.7,90.0,top
D2,175.7,-142.6,90.0,top
J1,114.005,-88.0775,180.0,top
J10,182.1,-151.9,0.0,top
J2,69.9,-88.44,270.0,top
J3,70.4,-96.5,270.0,top
J4,69.765,-110.75,270.0,top
J5,76.03,-151.9,0.0,top
J6,97.728,-151.9,0.0,top
J7,119.456,-151.8835,0.0,top
J8,141.17,-151.9,0.0,top
J9,162.912,-151.9,0.0,top
L1,115.85,-104.0,90.0,top
Q1,110.3,-97.15,90.0,top
Q10,127.35,-142.85,90.0,top
Q11,74.1,-142.5325,270.0,top
Q12,97.1,-142.93,270.0,top
Q13,118.95,-142.85,270.0,top
Q14,149.3,-143.0,90.0,top
Q15,162.35,-142.8,270.0,top
Q16,140.7,-142.95,270.0,top
Q17,171.4,-142.57,90.0,top
Q18,189.6,-137.0038,90.0,top
Q19,182.8,-142.4825,270.0,top
Q2,115.1,-97.15,90.0,top
Q3,124.5,-97.05,90.0,top
Q4,119.95,-97.15,90.0,top
Q5,110.15,-104.75,90.0,top
Q6,79.7,-102.5,90.0,top
Q7,77.2375,-113.6,90.0,top
Q8,81.9,-142.6825,90.0,top
Q9,105.55,-142.97,90.0,top
R1,132.95,-97.0,90.0,top
R10,79.2,-130.5,90.0,top
R11,76.15,-130.4625,270.0,top
R12,111.3625,-128.4,0.0,top
R13,111.4375,-121.5,0.0,top
R14,111.45,-125.05,0.0,top
R15,78.9375,-94.5,0.0,top
R16,78.9,-97.9,0.0,top
R17,66.0,-102.45,90.0,top
R18,69.2,-102.45,90.0,top
R19,72.45,-102.45,270.0,top
R2,135.45,-97.0,90.0,top
R20,130.5,-132.7,90.0,top
R21,74.1,-138.7199,0.0,top
R22,89.25,-138.7198,0.0,top
R23,105.6,-138.6593,0.0,top
R24,85.6,-142.8325,270.0,top
R25,81.9,-138.7198,0.0,top
R26,97.1,-138.7195,180.0,top
R27,70.2,-142.6825,270.0,top
R28,93.15,-142.9125,270.0,top
R29,114.65,-142.9125,270.0,top
R3,127.8,-97.0,270.0,top
R30,77.9,-142.7325,270.0,top
R31,101.3,-143.05,90.0,top
R32,123.2,-142.9,270.0,top
R33,124.0,-138.7195,0.0,top
R34,140.65,-138.7196,0.0,top
R35,114.55,-138.5391,0.0,top
R36,132.3,-138.7197,0.0,top
R37,136.5,-143.0,270.0,top
R38,158.05,-142.7875,270.0,top
R39,144.95,-142.95,270.0,top
R4,130.45,-97.0,270.0,top
R40,166.9,-142.8625,90.0,top
R41,190.3,-142.55,90.0,top
R42,189.65,-132.45,0.0,top
R43,178.8,-142.6,270.0,top
R44,186.95,-142.5875,90.0,top
R5,136.9875,-102.0,0.0,top
R6,136.9875,-104.95,0.0,top
R7,121.5,-103.9,0.0,top
R8,79.2,-119.05,90.0,top
R9,76.2,-119.05,270.0,top
SW1,70.0,-121.1,0.0,top
SW2,69.95,-132.55,0.0,top
U1,94.6,-118.95,180.0,top
U10,110.6,-142.9,90.0,top
U11,132.35,-142.92,90.0,top
U12,154.05,-142.8,90.0,top
U13,182.9625,-136.75,0.0,top
U2,94.5,-92.9975,0.0,top
U3,191.2901,-108.955,270.0,top
U4,125.75,-119.1,0.0,top
U5,126.525,-103.55,0.0,top
U6,77.2375,-108.15,270.0,top
U7,122.85,-132.8,0.0,top
U8,66.35,-142.625,90.0,top
U9,89.35,-142.9,90.0,top
